No.,Question,Passage,BaseModelAnswer(GPT-3),CoVeAnswer
11,Name some Flora from Antarctica,"Bryum argenteum, Hennediella heimii, Colobanthus quitensis, Deschampsia antarctica, Glossopteris, Chorisodontium aciphyllum, and Grimmia antarctici are representative examples related to the request: “Name some Flora from Antarctica”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Bryum argenteum; Hennediella heimii; Colobanthus quitensis; Deschampsia antarctica; Glossopteris; Chorisodontium aciphyllum; Grimmia antarctici,Bryum argenteum; Hennediella heimii; Colobanthus quitensis; Deschampsia antarctica; Chorisodontium aciphyllum; Grimmia antarctici
12,Name some Animals from Aruba,"Arubolana imula, Crotalus durissus, Crotalus unicolor, Cnemidophorus arubensis, Anolis lineatus, and Tretioscincus bifasciatus are representative examples related to the request: “Name some Animals from Aruba”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Arubolana imula; Cnemidophorus arubensis; Anolis lineatus; Tretioscincus bifasciatus,Arubolana imula; Cnemidophorus arubensis; Anolis lineatus; Tretioscincus bifasciatus
13,Name some South America Crocodilians,"Yacare caiman, Broad-snouted caiman, Smooth-fronted caiman, Orinoco crocodile, Black caiman, Cuvier's dwarf caiman, Protocaiman, American crocodile, and Spectacled caiman are representative examples related to the request: “Name some South America Crocodilians”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Yacare caiman; Broad-snouted caiman; Smooth-fronted caiman; Black caiman; Spectacled caiman,Yacare caiman; Broad-snouted caiman; Smooth-fronted caiman; Black caiman; Spectacled caiman
14,Name some Argentinian marsupials,"Long-nosed caenolestid, Patagonian opossum, Argentine fat-tailed mouse opossum, White-bellied woolly mouse opossum, Monito del monte, Buff-bellied fat-tailed mouse opossum, Chacoan gracile opossum, Chacoan pygmy opossum, and Common fat-tailed mouse opossum are representative examples related to the request: “Name some Argentinian marsupials”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Long-nosed caenolestid; Patagonian opossum; Argentine fat-tailed mouse opossum; White-bellied woolly mouse opossum; Monito del monte; Buff-bellied fat-tailed mouse opossum; Chacoan gracile opossum; Chacoan pygmy opossum; Common fat-tailed mouse opossum,Long-nosed caenolestid; Patagonian opossum; Argentine fat-tailed mouse opossum; White-bellied woolly mouse opossum; Monito del monte; Buff-bellied fat-tailed mouse opossum; Chacoan gracile opossum; Chacoan pygmy opossum; Common fat-tailed mouse opossum
15,Name some Mahatma Gandhi books,"The Story of My Experiments with Truth, Gandhi Under Cross Examination, Makers of Modern India, Gandhi as a Political Strategist, Gandhi's Truth, Gandhi: Behind the Mask of Divinity, The Death and Afterlife of Mahatma Gandhi, Gandhi: The Years That Changed the World, Gandhi the Man, and Great Soul: Mahatma Gandhi and His Struggle with India are representative examples related to the request: “Name some Mahatma Gandhi books”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",The Story of My Experiments with Truth; Gandhi Under Cross Examination; Makers of Modern India; Gandhi as a Political Strategist; Gandhi's Truth; Gandhi: Behind the Mask of Divinity; The Death and Afterlife of Mahatma Gandhi; Gandhi: The Years That Changed the World; Gandhi the Man; Great Soul: Mahatma Gandhi and His Struggle with India,The Story of My Experiments with Truth; Gandhi Under Cross Examination; Makers of Modern India; Gandhi as a Political Strategist; Gandhi's Truth; Gandhi: Behind the Mask of Divinity; The Death and Afterlife of Mahatma Gandhi; Gandhi: The Years That Changed the World; Gandhi the Man; Great Soul: Mahatma Gandhi and His Struggle with India
16,Name some Books from Terrance Dicks,"Players (Dicks novel), Made of Steel (novella), Mean Streets (Dicks novel), Warmonger (novel), Deadly Reunion, World Game (novel), Catastrophea, Blood Harvest (Dicks novel), Revenge of the Judoon, and The Eight Doctors are representative examples related to the request: “Name some Books from Terrance Dicks”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Players; Mean Streets; Blood Harvest; World Game; The Eight Doctors,Players; Mean Streets; Blood Harvest; World Game; The Eight Doctors
17,Name some Tahir Shah books,"Timbuctoo (novel), In Arabian Nights, In Search of King Solomon's Mines, Sorcerer's Apprentice (Shah book), Trail of Feathers, Beyond the Devil's Teeth, The Caliph's House, House of the Tiger King, The Middle East Bedside Book, and Scorpion Soup are representative examples related to the request: “Name some Tahir Shah books”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Timbuctoo; In Arabian Nights; In Search of King Solomon's Mines; Sorcerer's Apprentice; Trail of Feathers; Beyond the Devil's Teeth; The Caliph's House; House of the Tiger King; The Middle East Bedside Book; Scorpion Soup,Timbuctoo; In Arabian Nights; In Search of King Solomon's Mines; Sorcerer's Apprentice; Trail of Feathers; Beyond the Devil's Teeth; The Caliph's House; House of the Tiger King; The Middle East Bedside Book; Scorpion Soup
18,Name some Endemic flora of Western New Guinea,"Nepenthes lamii, Nepenthes klossii, Nepenthes insignis, Nepenthes papuana, Nothofagus stylosa, Nepenthes monticola, Nothofagus womersleyi, and Wallaceodoxa are representative examples related to the request: “Name some Endemic flora of Western New Guinea”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Nepenthes lamii; Nepenthes klossii; Nepenthes insignis; Nepenthes papuana; Nepenthes monticola; Wallaceodoxa,Nepenthes lamii; Nepenthes klossii; Nepenthes insignis; Nepenthes papuana; Nepenthes monticola; Wallaceodoxa
19,Name some Endemic fauna from Saint Lucia,"Erythrolamprus ornatus, Semper's warbler, St. Lucia threadsnake, Saint Lucia lancehead, Saint Lucia whiptail, Anolis luciae, and Saint Lucia black finch are representative examples related to the request: “Name some Endemic fauna from Saint Lucia”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",St. Lucia threadsnake; Saint Lucia lancehead; Saint Lucia whiptail; Anolis luciae; Saint Lucia black finch,St. Lucia threadsnake; Saint Lucia lancehead; Saint Lucia whiptail; Anolis luciae; Saint Lucia black finch
20,Name some microorganisms that grow at low water activity levels.,"Tardigrade, Ramazzottius, Aspergillus conicus, White-toothed woodrat, Eutardigrade, Debaryomyces hansenii, Pseudobiotus, White-throated woodrat, and Ramajendas are representative examples related to the request: “Name some microorganisms that grow at low water activity levels.”. While not exhaustive, this set highlights salient, well-known instances that fit the category.",Tardigrade; Eutardigrade; Debaryomyces hansenii; Pseudobiotus,Tardigrade; Eutardigrade
